title,table_number,domain,endpoint_short,category,subgroup_values,interaction_p
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Age Group 1,"<=65 years, >65 years",0.9663
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Age Group 2,"<=75 years, >75 years",0.166
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Sex,"Male, Female",0.7817
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Race,"White, Asian",0.055
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tobacco History,"Current, Former, Never",0.6629
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Region,"Asia, Non-Asia",0.5099
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Number of Organs with Metastatic Sites,"0-2, >=3",0.5739
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Prior Gastrectomy (total or partial),"Yes, No",0.1607
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.2257
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 1,"Gastric, GEJ",0.0766
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.7157
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 3,"GEJ Proximal, GEJ Distal",0.0841
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Age Group 1,"<=65 years, >65 years",0.6914
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Age Group 2,"<=75 years, >75 years",0.7321
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Sex,"Male, Female",0.6583
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Race,"White, Asian",0.0351
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tobacco History,"Current, Former, Never",0.7503
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Region,"Asia, Non-Asia",0.1064
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Number of Organs with Metastatic Sites,"0-2, >=3",0.6418
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Prior Gastrectomy (total or partial),"Yes, No",0.2535
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.1756
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 1,"Gastric, GEJ",0.1478
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.2419
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 3,"GEJ Proximal, GEJ Distal",0.0145
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Age Group 1,"<=65 years, >65 years",0.2246
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Age Group 2,"<=75 years, >75 years",0.7667
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Sex,"Male, Female",0.994
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Race,"White, Asian",0.0076
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tobacco History,"Current, Former, Never",0.9311
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Region,"Asia, Non-Asia",0.0631
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Number of Organs with Metastatic Sites,"0-2, >=3",0.5801
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Prior Gastrectomy (total or partial),"Yes, No",0.2521
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.1594
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tumor Location 1,"Gastric, GEJ",0.5492
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.4207
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tumor Location 3,"GEJ Proximal, GEJ Distal",0.023
Table 301.1.3004.5.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: GHS,Age Group 1,"<=65 years, >65 years",0.1765
Table 301.1.3004.5.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: GHS,Sex,"Male, Female",0.5319
Table 301.1.3004.5.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: GHS,Region,"Asia, Non-Asia",0.6909
Table 301.1.3004.5.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: GHS,Number of Organs with Metastatic Sites,"0-2, >=3",0.9878
Table 301.1.3004.6.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Physical Funct.,Age Group 1,"<=65 years, >65 years",0.4491
Table 301.1.3004.6.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Physical Funct.,Sex,"Male, Female",0.6944
Table 301.1.3004.6.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Physical Funct.,Region,"Asia, Non-Asia",0.9816
Table 301.1.3004.6.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Physical Funct.,Number of Organs with Metastatic Sites,"0-2, >=3",0.436
Table 301.1.3004.7.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Role Funct.,Age Group 1,"<=65 years, >65 years",0.6711
Table 301.1.3004.7.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Role Funct.,Sex,"Male, Female",0.2311
Table 301.1.3004.7.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Role Funct.,Region,"Asia, Non-Asia",0.9528
Table 301.1.3004.7.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Role Funct.,Number of Organs with Metastatic Sites,"0-2, >=3",0.347
Table 301.1.3004.8.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Emotional Funct.,Age Group 1,"<=65 years, >65 years",0.6163
Table 301.1.3004.8.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Emotional Funct.,Sex,"Male, Female",0.406
Table 301.1.3004.8.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Emotional Funct.,Region,"Asia, Non-Asia",0.1594
Table 301.1.3004.8.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Emotional Funct.,Number of Organs with Metastatic Sites,"0-2, >=3",0.7954
Table 301.1.3004.9.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Cognitive Funct.,Age Group 1,"<=65 years, >65 years",0.5756
Table 301.1.3004.9.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Cognitive Funct.,Sex,"Male, Female",0.3352
Table 301.1.3004.9.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Cognitive Funct.,Region,"Asia, Non-Asia",0.936
Table 301.1.3004.9.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Cognitive Funct.,Number of Organs with Metastatic Sites,"0-2, >=3",0.7312
Table 301.1.3004.10.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Social Funct.,Age Group 1,"<=65 years, >65 years",0.2725
Table 301.1.3004.10.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Social Funct.,Sex,"Male, Female",0.4933
Table 301.1.3004.10.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Social Funct.,Region,"Asia, Non-Asia",0.8704
Table 301.1.3004.10.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Social Funct.,Number of Organs with Metastatic Sites,"0-2, >=3",0.6385
Table 301.1.3004.11.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Fatigue,Age Group 1,"<=65 years, >65 years",0.7527
Table 301.1.3004.11.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Fatigue,Sex,"Male, Female",0.0384
Table 301.1.3004.11.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Fatigue,Region,"Asia, Non-Asia",0.4185
Table 301.1.3004.11.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Fatigue,Number of Organs with Metastatic Sites,"0-2, >=3",0.8067
Table 301.1.3004.12.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Nausea & Vomiting,Age Group 1,"<=65 years, >65 years",0.1851
Table 301.1.3004.12.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Nausea & Vomiting,Sex,"Male, Female",0.4733
Table 301.1.3004.12.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Nausea & Vomiting,Region,"Asia, Non-Asia",0.4009
Table 301.1.3004.12.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Nausea & Vomiting,Number of Organs with Metastatic Sites,"0-2, >=3",0.1781
Table 301.1.3004.13.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain,Age Group 1,"<=65 years, >65 years",0.8012
Table 301.1.3004.13.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain,Sex,"Male, Female",0.2345
Table 301.1.3004.13.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain,Region,"Asia, Non-Asia",0.0136
Table 301.1.3004.13.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain,Number of Organs with Metastatic Sites,"0-2, >=3",0.9499
Table 301.1.3004.14.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dyspnoea,Age Group 1,"<=65 years, >65 years",0.277
Table 301.1.3004.14.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dyspnoea,Sex,"Male, Female",0.0718
Table 301.1.3004.14.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dyspnoea,Region,"Asia, Non-Asia",0.8191
Table 301.1.3004.14.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dyspnoea,Number of Organs with Metastatic Sites,"0-2, >=3",0.752
Table 301.1.3004.15.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Insomnia,Age Group 1,"<=65 years, >65 years",0.3072
Table 301.1.3004.15.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Insomnia,Sex,"Male, Female",0.8978
Table 301.1.3004.15.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Insomnia,Region,"Asia, Non-Asia",0.5543
Table 301.1.3004.15.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Insomnia,Number of Organs with Metastatic Sites,"0-2, >=3",0.4404
Table 301.1.3004.16.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Appetite Loss,Age Group 1,"<=65 years, >65 years",0.5407
Table 301.1.3004.16.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Appetite Loss,Sex,"Male, Female",0.6345
Table 301.1.3004.16.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Appetite Loss,Region,"Asia, Non-Asia",0.3028
Table 301.1.3004.16.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Appetite Loss,Number of Organs with Metastatic Sites,"0-2, >=3",0.1002
Table 301.1.3004.17.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Constipation,Age Group 1,"<=65 years, >65 years",0.5761
Table 301.1.3004.17.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Constipation,Sex,"Male, Female",0.8709
Table 301.1.3004.17.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Constipation,Region,"Asia, Non-Asia",0.8611
Table 301.1.3004.17.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Constipation,Number of Organs with Metastatic Sites,"0-2, >=3",0.5674
Table 301.1.3004.18.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Diarrhoea,Age Group 1,"<=65 years, >65 years",0.0192
Table 301.1.3004.18.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Diarrhoea,Sex,"Male, Female",0.278
Table 301.1.3004.18.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Diarrhoea,Region,"Asia, Non-Asia",0.9767
Table 301.1.3004.18.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Diarrhoea,Number of Organs with Metastatic Sites,"0-2, >=3",0.0669
Table 301.1.3004.19.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Financial Diff.,Age Group 1,"<=65 years, >65 years",0.4538
Table 301.1.3004.19.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Financial Diff.,Sex,"Male, Female",0.6902
Table 301.1.3004.19.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Financial Diff.,Region,"Asia, Non-Asia",0.4061
Table 301.1.3004.19.2: EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Financial Diff.,Number of Organs with Metastatic Sites,"0-2, >=3",0.7049
Table 301.1.3004.20.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dysphagia,Age Group 1,"<=65 years, >65 years",0.2061
Table 301.1.3004.20.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dysphagia,Sex,"Male, Female",0.0028
Table 301.1.3004.20.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dysphagia,Region,"Asia, Non-Asia",0.3083
Table 301.1.3004.20.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dysphagia,Number of Organs with Metastatic Sites,"0-2, >=3",0.3151
Table 301.1.3004.21.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating Restrictions,Age Group 1,"<=65 years, >65 years",0.6392
Table 301.1.3004.21.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating Restrictions,Sex,"Male, Female",0.199
Table 301.1.3004.21.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating Restrictions,Region,"Asia, Non-Asia",0.7394
Table 301.1.3004.21.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating Restrictions,Number of Organs with Metastatic Sites,"0-2, >=3",0.7621
Table 301.1.3004.22.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Reflux,Age Group 1,"<=65 years, >65 years",0.251
Table 301.1.3004.22.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Reflux,Sex,"Male, Female",0.0355
Table 301.1.3004.22.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Reflux,Region,"Asia, Non-Asia",0.3376
Table 301.1.3004.22.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Reflux,Number of Organs with Metastatic Sites,"0-2, >=3",0.6323
Table 301.1.3004.23.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Odynophagia,Age Group 1,"<=65 years, >65 years",0.7039
Table 301.1.3004.23.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Odynophagia,Sex,"Male, Female",0.1452
Table 301.1.3004.23.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Odynophagia,Region,"Asia, Non-Asia",0.1553
Table 301.1.3004.23.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Odynophagia,Number of Organs with Metastatic Sites,"0-2, >=3",0.3516
Table 301.1.3004.24.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain & Discomfort,Age Group 1,"<=65 years, >65 years",0.9765
Table 301.1.3004.24.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain & Discomfort,Sex,"Male, Female",0.4433
Table 301.1.3004.24.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain & Discomfort,Region,"Asia, Non-Asia",0.8311
Table 301.1.3004.24.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Pain & Discomfort,Number of Organs with Metastatic Sites,"0-2, >=3",0.4707
Table 301.1.3004.25.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Anxiety,Age Group 1,"<=65 years, >65 years",0.0726
Table 301.1.3004.25.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Anxiety,Sex,"Male, Female",0.0179
Table 301.1.3004.25.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Anxiety,Region,"Asia, Non-Asia",0.5472
Table 301.1.3004.25.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Anxiety,Number of Organs with Metastatic Sites,"0-2, >=3",0.147
Table 301.1.3004.26.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating w/ Others,Age Group 1,"<=65 years, >65 years",0.2793
Table 301.1.3004.26.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating w/ Others,Sex,"Male, Female",0.4627
Table 301.1.3004.26.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating w/ Others,Region,"Asia, Non-Asia",0.9105
Table 301.1.3004.26.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Eating w/ Others,Number of Organs with Metastatic Sites,"0-2, >=3",0.674
Table 301.1.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Age Group 1,"<=65 years, >65 years",0.2577
Table 301.1.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Sex,"Male, Female",0.8004
Table 301.1.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Region,"Asia, Non-Asia",0.6023
Table 301.1.3004.27.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Dry Mouth,Number of Organs with Metastatic Sites,"0-2, >=3",0.7331
Table 301.1.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Age Group 1,"<=65 years, >65 years",0.222
Table 301.1.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Sex,"Male, Female",0.4266
Table 301.1.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Region,"Asia, Non-Asia",0.4458
Table 301.1.3004.28.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Taste,Number of Organs with Metastatic Sites,"0-2, >=3",0.0608
Table 301.1.3004.29.2: EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set,3004,PRO,TTFD: Body Image,Age Group 1,"<=65 years, >65 years",0.0146
