nr,page_start,page_end,filename
108,391,394,0108_Table 301.1.3002.30_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Swallowing Saliva - Full Analysis Set.xlsx
109,395,400,0109_Table 301.1.3002.30.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Swallowing Saliva by Age Group 1 - Full Analysis Set.xlsx
110,401,404,0110_Table 301.1.3002.31_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Choked when Swallowing Score - Full Analysis Set.xlsx
111,405,410,0111_Table 301.1.3002.31.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Choked when Swallowing Score by Age Group 1 - Full Analysis Set.xlsx
112,411,414,0112_Table 301.1.3002.32_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble with Coughing - Full Analysis Set.xlsx
113,415,418,0113_Table 301.1.3002.33_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Talking - Full Analysis Set.xlsx
114,419,424,0114_Table 301.1.3002.33.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Talking by Age Group 1 - Full Analysis Set.xlsx
115,425,428,0115_Table 301.1.3002.34_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Weight Loss - Full Analysis Set.xlsx
116,429,431,0116_Table 301.1.3002.35_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Hair Loss - Full Analysis Set.xlsx
117,433,433,0117_Table 301.1.3004.20.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia (MID=10) - Full Analysis Set.xlsx
118,434,434,0118_Table 301.1.3004.20.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set.xlsx
119,435,435,0119_Table 301.1.3004.21.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions (MID=10) - Full Analysis Set.xlsx
120,436,436,0120_Table 301.1.3004.21.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set.xlsx
121,437,437,0121_Table 301.1.3004.22.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux (MID=10) - Full Analysis Set.xlsx
