nr,page_start,page_end,filename
441,1073,1073,0441_Table 301.1.2001.232.1_ Summary and Results of TESAEs - Vomiting (AESI).xlsx
442,1074,1074,0442_Table 301.1.2001.232.2_ Summary and Results of TESAEs by Subgroups - Vomiting (AESI).xlsx
443,1075,1075,0443_Table 301.1.2001.233.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Abdominal Pain (AESI).xlsx
444,1076,1076,0444_Table 301.1.2001.233.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Abdominal Pain (AESI).xlsx
445,1077,1077,0445_Table 301.1.2001.234.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Anemia (AESI).xlsx
446,1078,1078,0446_Table 301.1.2001.234.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Anemia (AESI).xlsx
447,1079,1079,0447_Table 301.1.2001.235.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Hypersensitivity Reactions (AESI).xlsx
448,1080,1080,0448_Table 301.1.2001.235.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Hypersensitivity Reactions (AESI).xlsx
449,1081,1081,0449_Table 301.1.2001.236.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Infusion Related Reaction (AESI).xlsx
450,1082,1082,0450_Table 301.1.2001.236.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI).xlsx
451,1083,1083,0451_Table 301.1.2001.237.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Nausea (AESI).xlsx
452,1084,1084,0452_Table 301.1.2001.237.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI).xlsx
453,1085,1085,0453_Table 301.1.2001.238.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Neutropenia (AESI).xlsx
454,1086,1086,0454_Table 301.1.2001.238.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI).xlsx
455,1087,1087,0455_Table 301.1.2001.239.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Vomiting (AESI).xlsx
456,1088,1088,0456_Table 301.1.2001.239.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI).xlsx
457,1089,1089,0457_Table 301.1.2001.261.1_ Summary and Results of TEAEs leading to Death - Abdominal Pain (AESI).xlsx
458,1090,1090,0458_Table 301.1.2001.261.2_ Summary and Results of TEAEs leading to Death by Subgroups - Abdominal Pain (AESI).xlsx
459,1091,1091,0459_Table 301.1.2001.262.1_ Summary and Results of TEAEs leading to Death - Anemia (AESI).xlsx
460,1092,1092,0460_Table 301.1.2001.262.2_ Summary and Results of TEAEs leading to Death by Subgroups - Anemia (AESI).xlsx
461,1093,1093,0461_Table 301.1.2001.263.1_ Summary and Results of TEAEs leading to Death - Hypersensitivity Reactions (AESI).xlsx
462,1094,1094,0462_Table 301.1.2001.263.2_ Summary and Results of TEAEs leading to Death by Subgroups - Hypersensitivity Reactions (AESI).xlsx
463,1095,1095,0463_Table 301.1.2001.264.1_ Summary and Results of TEAEs leading to Death - Infusion Related Reaction (AESI).xlsx
464,1096,1096,0464_Table 301.1.2001.264.2_ Summary and Results of TEAEs leading to Death by Subgroups - Infusion Related Reaction (AESI).xlsx
465,1097,1097,0465_Table 301.1.2001.265.1_ Summary and Results of TEAEs leading to Death - Nausea (AESI).xlsx
466,1098,1098,0466_Table 301.1.2001.265.2_ Summary and Results of TEAEs leading to Death by Subgroups - Nausea (AESI).xlsx
467,1099,1099,0467_Table 301.1.2001.266.1_ Summary and Results of TEAEs leading to Death - Neutropenia (AESI).xlsx
468,1100,1100,0468_Table 301.1.2001.266.2_ Summary and Results of TEAEs leading to Death by Subgroups - Neutropenia (AESI).xlsx
469,1101,1101,0469_Table 301.1.2001.267.1_ Summary and Results of TEAEs leading to Death - Vomiting (AESI).xlsx
470,1102,1102,0470_Table 301.1.2001.267.2_ Summary and Results of TEAEs leading to Death by Subgroups - Vomiting (AESI).xlsx
471,1155,1155,0471_Table 301.1.1001.2.1_ Summary of Duration of Observation Time of Overall Survival - Full Analysis Set.xlsx
472,1156,1156,0472_Table 301.1.1001.2.2_ Summary of Duration of Observation Time of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
473,1157,1157,0473_Table 301.1.1001.2.3_ Summary of Duration of Observation Time of Progression-Free Survival (INV) - Full Analysis Set.xlsx
474,1158,1158,0474_Table 301.1.3000.1_ EORTC QLQ-C30 - Summary of Duration of Observation Time - Full Analysis Set.xlsx
475,1159,1159,0475_Table 301.1.3000.2_ EORTC QLQ-OG25 - Summary of Duration of Observation Time - Full Analysis Set.xlsx
476,1160,1160,0476_Table 301.1.3000.3_ EQ-5D-5L Visual Analog Scale - Summary of Duration of Observation Time - Full Analysis Set.xlsx
477,1161,1161,0477_Table 301.1.3000.4_ Global Pain - Summary of Duration of Observation Time - Full Analysis Set.xlsx
478,1162,1162,0478_Table 301.1.2000.6.1_ Summary of Duration of Observation Time for Safety Endpoints - Safety Analysis Set.xlsx
479,1163,1163,0479_Table 301.1.2000.6.2_ Summary of Duration of Observation Time for any TEAE - Safety Analysis Set.xlsx
480,1165,1170,0480_Table 301.1.1001.5_ Summary of Concomitant Therapies - Full Analysis Set.xlsx
481,1172,1173,0481_Table 301.1.1001.6_ Summary of Study Drug Exposure - Safety Analysis Set.xlsx
482,1175,1176,0482_Table 301.1.1001.7_ Summary of Disposition of Subjects.xlsx
483,1178,1182,0483_Table 301.3.1001.1_ Summary of Baseline Demographics - Full Analysis Set.xlsx
484,1183,1186,0484_Table 301.3.1001.3_ Summary of Primary Diagnosis - Full Analysis Set.xlsx
485,1187,1214,0485_Table 301.3.1001.4_ Summary of Medical History by SOC_PT - Full Analysis Set.xlsx
486,1216,1216,0486_Table 301.3.1002.1.1_ Summary of Overall Survival - Full Analysis Set.xlsx
487,1217,1217,0487_Table 301.3.1002.1.2_ Type of Events and Censoring of Overall Survival - Full Analysis Set.xlsx
488,1218,1219,0488_Table 301.3.1002.1.3_ Summary of Overall Survival by Subgroups - Full Analysis Set.xlsx
489,1225,1225,0489_Table 301.3.1002.2.1_ Summary of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
490,1226,1226,0490_Table 301.3.1002.2.2_ Type of Events and Censoring of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
491,1227,1228,0491_Table 301.3.1002.2.3_ Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set.xlsx
492,1229,1229,0492_Table 301.3.1002.3.1_ Summary of Progression-Free Survival (INV) - Full Analysis Set.xlsx
493,1230,1230,0493_Table 301.3.1002.3.2_ Type of Events and Censoring of Progression-Free Survival (INV) - Full Analysis Set.xlsx
494,1231,1232,0494_Table 301.3.1002.3.3_ Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set.xlsx
495,1239,1242,0495_Table 301.3.3001.1_ EORTC QLQ-C30 - Completion Status - Full Analysis Set.xlsx
496,1243,1246,0496_Table 301.3.3001.5_ EORTC QLQ-C30 - Completion Status of Global Health Status - Full Analysis Set.xlsx
497,1247,1250,0497_Table 301.3.3001.6_ EORTC QLQ-C30 - Completion Status of Physical Functioning - Full Analysis Set.xlsx
498,1251,1254,0498_Table 301.3.3001.7_ EORTC QLQ-C30 - Completion Status of Role Functioning - Full Analysis Set.xlsx
499,1255,1258,0499_Table 301.3.3001.8_ EORTC QLQ-C30 - Completion Status of Emotional Functioning - Full Analysis Set.xlsx
500,1259,1262,0500_Table 301.3.3001.9_ EORTC QLQ-C30 - Completion Status of Cognitive Functioning - Full Analysis Set.xlsx
501,1263,1266,0501_Table 301.3.3001.10_ EORTC QLQ-C30 - Completion Status of Social Functioning - Full Analysis Set.xlsx
502,1267,1270,0502_Table 301.3.3001.11_ EORTC QLQ-C30 - Completion Status of Fatigue - Full Analysis Set.xlsx
503,1271,1274,0503_Table 301.3.3001.12_ EORTC QLQ-C30 - Completion Status of Nausea and Vomiting - Full Analysis Set.xlsx
504,1275,1278,0504_Table 301.3.3001.13_ EORTC QLQ-C30 - Completion Status of Pain - Full Analysis Set.xlsx
505,1279,1282,0505_Table 301.3.3001.14_ EORTC QLQ-C30 - Completion Status of Dyspnoea - Full Analysis Set.xlsx
506,1283,1286,0506_Table 301.3.3001.15_ EORTC QLQ-C30 - Completion Status of Insomnia - Full Analysis Set.xlsx
507,1287,1290,0507_Table 301.3.3001.16_ EORTC QLQ-C30 - Completion Status of Appetite Loss - Full Analysis Set.xlsx
508,1291,1294,0508_Table 301.3.3001.17_ EORTC QLQ-C30 - Completion Status of Constipation - Full Analysis Set.xlsx
509,1295,1298,0509_Table 301.3.3001.18_ EORTC QLQ-C30 - Completion Status of Diarrhoea - Full Analysis Set.xlsx
510,1299,1302,0510_Table 301.3.3001.19_ EORTC QLQ-C30 - Completion Status of Financial Difficulties - Full Analysis Set.xlsx
511,1304,1307,0511_Table 301.3.3002.5_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Global Health Status - Full Analysis Set.xlsx
512,1308,1311,0512_Table 301.3.3002.6_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Physical Functioning - Full Analysis Set.xlsx
513,1312,1315,0513_Table 301.3.3002.7_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Role Functioning - Full Analysis Set.xlsx
514,1316,1319,0514_Table 301.3.3002.8_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Emotional Functioning - Full Analysis Set.xlsx
515,1320,1323,0515_Table 301.3.3002.9_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Cognitive Functioning - Full Analysis Set.xlsx
516,1324,1327,0516_Table 301.3.3002.10_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Social Functioning - Full Analysis Set.xlsx
517,1328,1331,0517_Table 301.3.3002.11_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Fatigue - Full Analysis Set.xlsx
518,1332,1338,0518_Table 301.3.3002.11.2_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Fatigue by Sex - Full Analysis Set.xlsx
519,1339,1342,0519_Table 301.3.3002.12_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Nausea and Vomiting - Full Analysis Set.xlsx
520,1343,1346,0520_Table 301.3.3002.13_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Pain - Full Analysis Set.xlsx
521,1347,1353,0521_Table 301.3.3002.13.3_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Pain by Region - Full Analysis Set.xlsx
522,1354,1357,0522_Table 301.3.3002.14_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Dyspnoea - Full Analysis Set.xlsx
523,1358,1361,0523_Table 301.3.3002.15_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Insomnia - Full Analysis Set.xlsx
524,1362,1365,0524_Table 301.3.3002.16_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Appetite Loss - Full Analysis Set.xlsx
525,1366,1369,0525_Table 301.3.3002.17_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Constipation - Full Analysis Set.xlsx
526,1370,1373,0526_Table 301.3.3002.18_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Diarrhoea - Full Analysis Set.xlsx
527,1374,1380,0527_Table 301.3.3002.18.1_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Diarrhoea by Age Group 1 - Full Analysis Set.xlsx
528,1381,1384,0528_Table 301.3.3002.19_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Financial Difficulties - Full Analysis Set.xlsx
529,1386,1386,0529_Table 301.3.3004.5.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status (MID=10) - Full Analysis Set.xlsx
530,1387,1387,0530_Table 301.3.3004.5.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Global Health Status by Subgroups (MID=10) - Full Analysis Set.xlsx
531,1388,1388,0531_Table 301.3.3004.6.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning (MID=10) - Full Analysis Set.xlsx
532,1389,1389,0532_Table 301.3.3004.6.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Physical Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
533,1390,1390,0533_Table 301.3.3004.7.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning (MID=10) - Full Analysis Set.xlsx
534,1391,1391,0534_Table 301.3.3004.7.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Role Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
535,1392,1392,0535_Table 301.3.3004.8.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning (MID=10) - Full Analysis Set.xlsx
536,1393,1393,0536_Table 301.3.3004.8.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Emotional Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
537,1394,1394,0537_Table 301.3.3004.9.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning (MID=10) - Full Analysis Set.xlsx
538,1395,1395,0538_Table 301.3.3004.9.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Cognitive Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
539,1396,1396,0539_Table 301.3.3004.10.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning (MID=10) - Full Analysis Set.xlsx
540,1397,1397,0540_Table 301.3.3004.10.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Social Functioning by Subgroups (MID=10) - Full Analysis Set.xlsx
541,1398,1398,0541_Table 301.3.3004.11.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue (MID=10) - Full Analysis Set.xlsx
542,1399,1399,0542_Table 301.3.3004.11.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Fatigue by Subgroups (MID=10) - Full Analysis Set.xlsx
543,1400,1400,0543_Table 301.3.3004.12.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting (MID=10) - Full Analysis Set.xlsx
544,1401,1401,0544_Table 301.3.3004.12.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Nausea and Vomiting by Subgroups (MID=10) - Full Analysis Set.xlsx
545,1402,1402,0545_Table 301.3.3004.13.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain (MID=10) - Full Analysis Set.xlsx
546,1403,1403,0546_Table 301.3.3004.13.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Pain by Subgroups (MID=10) - Full Analysis Set.xlsx
547,1404,1404,0547_Table 301.3.3004.14.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea (MID=10) - Full Analysis Set.xlsx
548,1405,1405,0548_Table 301.3.3004.14.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Dyspnoea by Subgroups (MID=10) - Full Analysis Set.xlsx
549,1406,1406,0549_Table 301.3.3004.15.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia (MID=10) - Full Analysis Set.xlsx
550,1407,1407,0550_Table 301.3.3004.15.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Insomnia by Subgroups (MID=10) - Full Analysis Set.xlsx
551,1408,1408,0551_Table 301.3.3004.16.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss (MID=10) - Full Analysis Set.xlsx
552,1409,1409,0552_Table 301.3.3004.16.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Appetite Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
553,1410,1410,0553_Table 301.3.3004.17.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation (MID=10) - Full Analysis Set.xlsx
554,1411,1411,0554_Table 301.3.3004.17.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Constipation by Subgroups (MID=10) - Full Analysis Set.xlsx
555,1412,1412,0555_Table 301.3.3004.18.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea (MID=10) - Full Analysis Set.xlsx
556,1413,1413,0556_Table 301.3.3004.18.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Diarrhoea by Subgroups (MID=10) - Full Analysis Set.xlsx
557,1414,1414,0557_Table 301.3.3004.19.1_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties (MID=10) - Full Analysis Set.xlsx
558,1415,1415,0558_Table 301.3.3004.19.2_ EORTC QLQ-C30 - Summary of Time to First Deterioration of Financial Difficulties by Subgroups (MID=10) - Full Analysis Set.xlsx
559,1461,1464,0559_Table 301.3.3001.2_ EORTC QLQ-OG25 - Completion Status - Full Analysis Set.xlsx
560,1465,1468,0560_Table 301.3.3001.20_ EORTC QLQ-OG25 - Completion Status of Dysphagia - Full Analysis Set.xlsx
561,1469,1472,0561_Table 301.3.3001.21_ EORTC QLQ-OG25 - Completion Status of Eating Restrictions - Full Analysis Set.xlsx
562,1473,1476,0562_Table 301.3.3001.22_ EORTC QLQ-OG25 - Completion Status of Reflux - Full Analysis Set.xlsx
563,1477,1480,0563_Table 301.3.3001.23_ EORTC QLQ-OG25 - Completion Status of Odynophagia - Full Analysis Set.xlsx
564,1481,1484,0564_Table 301.3.3001.24_ EORTC QLQ-OG25 - Completion Status of Pain and Discomfort - Full Analysis Set.xlsx
565,1485,1488,0565_Table 301.3.3001.25_ EORTC QLQ-OG25 - Completion Status of Anxiety - Full Analysis Set.xlsx
566,1489,1492,0566_Table 301.3.3001.26_ EORTC QLQ-OG25 - Completion Status of Eating in Front of Others - Full Analysis Set.xlsx
567,1493,1496,0567_Table 301.3.3001.27_ EORTC QLQ-OG25 - Completion Status of Dry Mouth - Full Analysis Set.xlsx
568,1497,1500,0568_Table 301.3.3001.28_ EORTC QLQ-OG25 - Completion Status of Trouble with Taste - Full Analysis Set.xlsx
569,1501,1504,0569_Table 301.3.3001.29_ EORTC QLQ-OG25 - Completion Status of Body Image - Full Analysis Set.xlsx
570,1505,1508,0570_Table 301.3.3001.30_ EORTC QLQ-OG25 - Completion Status of Trouble Swallowing Saliva - Full Analysis Set.xlsx
571,1509,1512,0571_Table 301.3.3001.31_ EORTC QLQ-OG25 - Completion Status of Choked when Swallowing Score - Full Analysis Set.xlsx
572,1513,1516,0572_Table 301.3.3001.32_ EORTC QLQ-OG25 - Completion Status of Trouble with Coughing - Full Analysis Set.xlsx
573,1517,1520,0573_Table 301.3.3001.33_ EORTC QLQ-OG25 - Completion Status of Trouble Talking - Full Analysis Set.xlsx
574,1521,1524,0574_Table 301.3.3001.34_ EORTC QLQ-OG25 - Completion Status of Weight Loss - Full Analysis Set.xlsx
575,1525,1528,0575_Table 301.3.3001.35_ EORTC QLQ-OG25 - Completion Status of Hair Loss - Full Analysis Set.xlsx
576,1530,1533,0576_Table 301.3.3002.20_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dysphagia - Full Analysis Set.xlsx
577,1534,1540,0577_Table 301.3.3002.20.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dysphagia by Sex - Full Analysis Set.xlsx
578,1541,1544,0578_Table 301.3.3002.21_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Eating Restrictions - Full Analysis Set.xlsx
579,1545,1548,0579_Table 301.3.3002.22_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Reflux - Full Analysis Set.xlsx
580,1549,1555,0580_Table 301.3.3002.22.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Reflux by Sex - Full Analysis Set.xlsx
581,1556,1559,0581_Table 301.3.3002.23_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Odynophagia - Full Analysis Set.xlsx
582,1560,1563,0582_Table 301.3.3002.24_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Pain and Discomfort - Full Analysis Set.xlsx
583,1564,1567,0583_Table 301.3.3002.25_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Anxiety - Full Analysis Set.xlsx
584,1568,1574,0584_Table 301.3.3002.25.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Anxiety by Sex - Full Analysis Set.xlsx
585,1575,1578,0585_Table 301.3.3002.26_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Eating in Front of Others - Full Analysis Set.xlsx
586,1579,1582,0586_Table 301.3.3002.27_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dry Mouth - Full Analysis Set.xlsx
587,1583,1586,0587_Table 301.3.3002.28_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble with Taste - Full Analysis Set.xlsx
588,1587,1590,0588_Table 301.3.3002.29_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Body Image - Full Analysis Set.xlsx
589,1591,1597,0589_Table 301.3.3002.29.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Body Image by Age Group 1 - Full Analysis Set.xlsx
590,1598,1601,0590_Table 301.3.3002.30_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Swallowing Saliva - Full Analysis Set.xlsx
591,1602,1608,0591_Table 301.3.3002.30.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Swallowing Saliva by Age Group 1 - Full Analysis Set.xlsx
592,1609,1612,0592_Table 301.3.3002.31_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Choked when Swallowing Score - Full Analysis Set.xlsx
593,1613,1619,0593_Table 301.3.3002.31.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Choked when Swallowing Score by Age Group 1 - Full Analysis Set.xlsx
594,1620,1623,0594_Table 301.3.3002.32_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble with Coughing - Full Analysis Set.xlsx
595,1624,1627,0595_Table 301.3.3002.33_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Talking - Full Analysis Set.xlsx
596,1628,1634,0596_Table 301.3.3002.33.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble Talking by Age Group 1 - Full Analysis Set.xlsx
597,1635,1638,0597_Table 301.3.3002.34_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Weight Loss - Full Analysis Set.xlsx
598,1639,1641,0598_Table 301.3.3002.35_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Hair Loss - Full Analysis Set.xlsx
599,1643,1643,0599_Table 301.3.3004.20.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia (MID=10) - Full Analysis Set.xlsx
600,1644,1644,0600_Table 301.3.3004.20.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dysphagia by Subgroups (MID=10) - Full Analysis Set.xlsx
601,1645,1645,0601_Table 301.3.3004.21.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions (MID=10) - Full Analysis Set.xlsx
602,1646,1646,0602_Table 301.3.3004.21.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating Restrictions by Subgroups (MID=10) - Full Analysis Set.xlsx
603,1647,1647,0603_Table 301.3.3004.22.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux (MID=10) - Full Analysis Set.xlsx
604,1648,1648,0604_Table 301.3.3004.22.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Reflux by Subgroups (MID=10) - Full Analysis Set.xlsx
605,1649,1649,0605_Table 301.3.3004.23.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia (MID=10) - Full Analysis Set.xlsx
606,1650,1650,0606_Table 301.3.3004.23.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Odynophagia by Subgroups (MID=10) - Full Analysis Set.xlsx
607,1651,1651,0607_Table 301.3.3004.24.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort (MID=10) - Full Analysis Set.xlsx
608,1652,1652,0608_Table 301.3.3004.24.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Pain and Discomfort by Subgroups (MID=10) - Full Analysis Set.xlsx
609,1653,1653,0609_Table 301.3.3004.25.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety (MID=10) - Full Analysis Set.xlsx
610,1654,1654,0610_Table 301.3.3004.25.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Anxiety by Subgroups (MID=10) - Full Analysis Set.xlsx
611,1655,1655,0611_Table 301.3.3004.26.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others (MID=10) - Full Analysis Set.xlsx
612,1656,1656,0612_Table 301.3.3004.26.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Eating in Front of Others by Subgroups (MID=10) - Full Analysis Set.xlsx
613,1657,1657,0613_Table 301.3.3004.27.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score (MID=10) - Full Analysis Set.xlsx
614,1658,1658,0614_Table 301.3.3004.27.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Dry Mouth Score by Subgroups (MID=10) - Full Analysis Set.xlsx
615,1659,1659,0615_Table 301.3.3004.28.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste (MID=10) - Full Analysis Set.xlsx
616,1660,1660,0616_Table 301.3.3004.28.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set.xlsx
617,1661,1661,0617_Table 301.3.3004.29.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image (MID=10) - Full Analysis Set.xlsx
618,1662,1662,0618_Table 301.3.3004.29.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set.xlsx
619,1663,1663,0619_Table 301.3.3004.30.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva (MID=10) - Full Analysis Set.xlsx
620,1664,1664,0620_Table 301.3.3004.30.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set.xlsx
621,1665,1665,0621_Table 301.3.3004.31.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score (MID=10) - Full Analysis Set.xlsx
622,1666,1666,0622_Table 301.3.3004.31.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full.xlsx
623,1667,1667,0623_Table 301.3.3004.32.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing (MID=10) - Full Analysis Set.xlsx
624,1668,1668,0624_Table 301.3.3004.32.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set.xlsx
625,1669,1669,0625_Table 301.3.3004.33.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking (MID=10) - Full Analysis Set.xlsx
626,1670,1670,0626_Table 301.3.3004.33.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set.xlsx
627,1671,1671,0627_Table 301.3.3004.34.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss (MID=10) - Full Analysis Set.xlsx
628,1672,1672,0628_Table 301.3.3004.34.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
629,1673,1673,0629_Table 301.3.3004.35.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss (MID=10) - Full Analysis Set.xlsx
630,1674,1674,0630_Table 301.3.3004.35.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
